Query,Tables,Lineitem,Orders,Customer,Part,Supplier,Partsupp,Nation,Region,Total_Rows_SF1,Communication Sent (MB),Communication Sent (MB)
Q1,lineitem,6000000,0,0,0,0,0,0,0,6000000,297604.1815,60000000
Q2,"part,supplier,partsupp,nation,region",0,0,0,200000,10000,800000,25,5,1010030,133077.7837,10100300
Q3,"customer,orders,lineitem",6000000,1500000,150000,0,0,0,0,0,7650000,435985.8116,76500000
Q4,"orders,lineitem",6000000,1500000,0,0,0,0,0,0,7500000,268993.5109,75000000
Q5,"customer,orders,lineitem,supplier,nation,region",6000000,1500000,150000,0,10000,0,25,5,7660030,474570.9389,76600300
Q6,lineitem,6000000,0,0,0,0,0,0,0,6000000,92926.0474,60000000
Q7,"supplier,lineitem,orders,customer,nation(n1,n2)",6000000,1500000,150000,0,10000,0,25,0,7660025,724445.589,76600250
Q8,"part,supplier,lineitem,orders,customer,nation(n1,n2),region",6000000,1500000,150000,200000,10000,0,25,5,7860030,703201.2537,78600300
Q9,"part,supplier,lineitem,partsupp,orders,nation",6000000,1500000,0,200000,10000,800000,25,0,8510025,879275.979,85100250
Q10,"customer,orders,lineitem,nation",6000000,1500000,150000,0,0,0,25,0,7650025,611481.0591,76500250
Q11,"partsupp,supplier,nation",0,0,0,0,10000,800000,25,0,810025,48397.3241,8100250
Q12,"orders,lineitem",6000000,1500000,0,0,0,0,0,0,7500000,369987.5941,75000000
Q13,"customer,orders",0,1500000,150000,0,0,0,0,0,1650000,52591.5176,16500000
Q14,"lineitem,part",6000000,0,0,200000,0,0,0,0,6200000,207153.3936,62000000
Q15,"lineitem,supplier",6000000,0,0,0,10000,0,0,0,6010000,604832.6639,60100000
Q16,"partsupp,part,supplier",0,0,0,200000,10000,800000,0,0,1010000,109486.6505,10100000
Q17,"lineitem,part",6000000,0,0,200000,0,0,0,0,6200000,402527.116,62000000
Q18,"customer,orders,lineitem",6000000,1500000,150000,0,0,0,0,0,7650000,364257.1352,76500000
Q19,"lineitem,part",6000000,0,0,200000,0,0,0,0,6200000,287384.1233,62000000
Q20,"supplier,nation,partsupp,part,lineitem",6000000,0,0,200000,10000,800000,25,0,7010025,393740.8803,70100250
Q21,"supplier,lineitem(l1,l2,l3),orders,nation",6000000,1500000,0,0,10000,0,25,0,7510025,1231898.232,75100250
Q22,"customer,orders",0,1500000,150000,0,0,0,0,0,1650000,39098.8597,16500000
