rows,bits,Qamboo_time,Qamboo_comm,mpspdz_time,mpspdz_comm
65536,64,0.739266,374.1256,3.48672,1295.9
131072,64,1.154133,748.1218,6.85295,2591.79
262144,64,1.942929,1496.1219,13.7678,5183.58
524288,64,3.328692,2992.1218,24.904,10367.1
1048576,64,6.354932,5984.1219,55.67,20734
2097152,64,12.761613,11968.1219,117.91,41467.8
4194304,64,37.096036,23936.122,258.162,82935.6
8388608,64,76.033113,47872.1218,530.784,165871
16777216,64,156.767996,95744.1218,1092.45,331742
65536,32,0.362137,196.063,1.5574,320.599
131072,32,0.566284,392.063,3.12599,641.072
262144,32,0.948481,784.063,6.23116,1282.02
524288,32,1.655375,1568.0629,13.3637,2564.03
1048576,32,3.0923,3136.0629,28.3575,5128.05
2097152,32,6.533702,6272.0629,58.5876,10256
4194304,32,18.852119,12544.0629,123.483,20511.8
8388608,32,38.570596,25088.063,260.368,41023.5
16777216,32,79.995062,50176.063,538.856,82046.9
