Query,Qamboo opt,Qamboo,Qamboo no join reorder,Qamboo no join reorder,Qamboo no secure cut,Qamboo no secure cut
Q1,102.2934361,29760.9308,,,,
Q2,44.88166811,13308.2542,57.733362788,15938.7644,56.182316205,15258.3409
Q3,137.9540997,43598.8015,,,290.045128495,65640.1243
Q4,85.74548716,26899.4608,,,,
Q5,170.9508233,47457.5101,308.335212103,67352.6528,258.559650021,57482.5032
Q6,3.964632168,9292.6245,,,,
Q7,259.3991145,72444.5589,487.052690148,99842.4953,,
Q8,226.1136982,70320.758,462.894205784,108446.3472,331.603195508,109253.5761
Q9,344.7906994,87928.0066,585.169142836,115240.107,,
Q10,219.9673544,61148.4035,292.208772227,70585.2142,,
Q11,15.99223851,4839.9583,,,,
Q12,116.0325223,36998.8441,,,,
Q13,16.20440839,5259.3188,,,47.765289585,14244.6551
Q14,61.82558353,20715.3973,,,,
Q15,222.5512608,60483.4403,,,,
Q16,36.39313628,10948.8842,,,,
Q17,143.1827427,40252.9328,,,315.562696207,100212.3577
Q18,121.2235163,36425.952,,,344.399803328,77611.8181
Q19,81.2541753,28738.4758,,,,
Q20,132.1246804,39374.4474,,,287.892099166,65737.0733
Q21,459.4512962,123189.7231,,,778.756268834,162586.6061
Q22,12.33734238,3909.9823,,,,
