Query,Qamboo,Orq,,Speed up
Q1,128.4429234,253.4,,1.972860733
Q2,48.81271421,50.95,,1.043785432
Q3,177.1572937,269.4,,1.520682521
Q4,99.71967244,282.6,,2.833944327
Q5,210.1267527,852.1,,4.05517141
Q6,5.568402345,0.93,,0.167013794
Q7,289.3486355,849.1,,2.934522219
Q8,271.9332657,1047,,3.850209342
Q9,428.9594586,844.6,,1.968950639
Q10,259.2200724,601.1,,2.318879068
Q11,17.18777407,30.57,,1.778589821
Q12,137.5903142,289.7,,2.105526117
Q13,17.34000266,51.46,,2.967704274
Q14,71.52892733,130.6,,1.825834734
Q15,271.6903515,337.3,,1.241486855
Q16,38.82527092,61.75,,1.59045896
Q17,177.3273559,400.2,,2.256842989
Q18,139.7127882,626.8,,4.486346655
Q19,88.7357692,161.9,,1.824517908
Q20,147.1242325,487.9,,3.316244997
Q21,548.2160826,1142.8,,2.084579487
Q22,12.86537499,29.15,,2.265771501
