Query,Qamboo,Orq,,Speed up
Q1,298.3248921,948.8,,3.180425185
Q2,155.1819284,160.1,,1.031692296
Q3,421.5736142,568.3,,1.348044519
Q4,235.9068046,596.1,,2.526845298
Q5,500.2846227,1780,,3.557974639
Q6,17.82450373,2.18,,0.122303545
Q7,716.7316503,1771.9,,2.472194439
Q8,674.519498,2181,,3.233412832
Q9,994.7971772,1817,,1.826502971
Q10,637.4352211,1208,,1.895094529
Q11,57.96280067,101.7,,1.754573603
Q12,325.5454855,636,,1.953644048
Q13,64.3965963,143.1,,2.222167136
Q14,164.0887719,434.4,,2.6473475
Q15,645.5914097,718.5,,1.112933024
Q16,109.5947417,203.7,,1.858665816
Q17,406.5989936,935,,2.299562996
Q18,360.4282538,1338,,3.712250596
Q19,199.0545399,300.9,,1.511646005
Q20,392.2745675,1060,,2.702188946
Q21,1307.773675,2368,,1.810710863
Q22,49.49878098,138.2,,3.59920619
