Query,TCP,RDMA
Q1,102.2934361,92.05417886
Q2,44.88166811,39.14669227
Q3,137.9540997,120.3892778
Q4,85.74548716,75.31796359
Q5,170.9508233,152.4016691
Q6,3.964632168,2.950236098
Q7,259.3991145,233.1669756
Q8,226.1136982,201.0523134
Q9,344.7906994,305.6292841
Q10,219.9673544,195.5925331
Q11,15.99223851,13.90573847
Q12,116.0325223,103.628278
Q13,16.20440839,14.09940007
Q14,61.82558353,54.95713597
Q15,222.5512608,197.5528092
Q16,36.39313628,32.13281685
Q17,143.1827427,127.8723717
Q18,121.2235163,106.2117454
Q19,81.2541753,73.01993047
Q20,132.1246804,115.3805386
Q21,459.4512962,408.0332835
Q22,12.33734238,10.67822207
