Query,tcp tpch10,tcp tpch1,tcp tpch10/tpch1,RDMA tcp 10,RDMA tcp 1,RDMA tcp10/tcp1 ratio
Q1,993.6716647,102.2934361,9.713933783,944.866,92.05417886,10.26423799
Q2,499.4567648,44.88166811,11.12830217,444.3655,39.14669227,11.35129111
Q3,1620.081478,137.9540997,11.74362691,1483.9123,120.3892778,12.32595068
Q4,892.8496948,85.74548716,10.41278934,843.668,75.31796359,11.20141809
Q5,1806.893231,170.9508233,10.56966674,1721.6949,152.4016691,11.29708691
Q6,40.13996413,3.964632168,10.12451154,34.1495,2.950236098,11.5751753
Q7,3180.399114,259.3991145,12.26063983,2930.9079,233.1669756,12.56999578
Q8,2389.977405,226.1136982,10.56980371,2227.6594,201.0523134,11.07999884
Q9,3704.746203,344.7906994,10.74491339,3550.644,305.6292841,11.61748623
Q10,2368.080668,219.9673544,10.76560054,2275.1296,195.5925331,11.63198597
Q11,172.2191618,15.99223851,10.76892155,152.3617,13.90573847,10.95675
Q12,1204.860043,116.0325223,10.38381326,1129.9941,103.628278,10.90430259
Q13,164.8740236,16.20440839,10.17464011,144.4093,14.09940007,10.24223011
Q14,534.7143098,61.82558353,8.64875476,498.2959,54.95713597,9.066991779
Q15,2310.70961,222.5512608,10.38281968,2161.8598,197.5528092,10.94319949
Q16,402.5501385,36.39313628,11.06115547,356.455,32.13281685,11.09317623
Q17,1460.6773,143.1827427,10.20148988,1349.6622,127.8723717,10.55476005
Q18,1357.085872,121.2235163,11.19490601,1227.0051,106.2117454,11.55244267
Q19,659.4223031,81.2541753,8.115549763,597.2877,73.01993047,8.179790041
Q20,1403.323229,132.1246804,10.62120434,1277.3595,115.3805386,11.07084016
Q21,4879.359,459.4512962,10.61997004,4416.9553,408.0332835,10.82498776
Q22,129.6600774,12.33734238,10.50956303,113.3528,10.67822207,10.61532522
