Environment,Bit Type,Rows,Time (s)
LAN,64bit,1048576,6.59464406
LAN,32bit,1048576,3.074112197
LAN,64bit,2097152,12.607728855
LAN,32bit,2097152,6.547314641
LAN,64bit,4194304,33.658681321
LAN,32bit,4194304,17.100726082
LAN,64bit,8388608,72.845222646
LAN,32bit,8388608,37.063278476
LAN,64bit,16777216,156.228620381
LAN,32bit,16777216,79.64261414
LAN,64bit,33554432,320.148827865
LAN,32bit,33554432,163.586059953
LAN,64bit,67108864,676.160103322
LAN,32bit,67108864,346.61638687
LAN,64bit,134217728,1445.73
LAN,32bit,134217728,741.65
WAN,64bit,1048576,19.053693033
WAN,32bit,1048576,9.524696701
WAN,64bit,2097152,37.472624916
WAN,32bit,2097152,19.642403268
WAN,64bit,4194304,82.074619736
WAN,32bit,4194304,41.18093287
WAN,64bit,8388608,161.176733849
WAN,32bit,8388608,82.620905934
WAN,64bit,16777216,318.870611879
WAN,32bit,16777216,161.804358272
WAN,64bit,33554432,630.11379467
WAN,32bit,33554432,322.502284524
WAN,64bit,67108864,1268.82
WAN,32bit,67108864,649.71
WAN,64bit,134217728,2677.21
WAN,32bit,134217728,1370.88
