Query,Communication Sent (MB),Communication Sent (MB),Qamboo BandWith,ORQ Bandwith,,,
Q1,297604.1815,60000000,5.1,18.5,,3.62745098,
Q2,133077.7837,10100300,13.5,35.2,,2.607407407,
Q3,435985.8116,76500000,5.8,23.6,,4.068965517,
Q4,268993.5109,75000000,3.7,24.3,,6.567567568,
Q5,474570.9389,76600300,6.3,66.4,,10.53968254,
Q6,92926.0474,60000000,1.6,0.3,,0.1875,
Q7,724445.589,76600250,9.7,61,,6.288659794,
Q8,703201.2537,78600300,9.2,65.5,,7.119565217,
Q9,879275.979,85100250,10.6,62.5,,5.896226415,
Q10,611481.0591,76500250,8.2,40.5,,4.93902439,
Q11,48397.3241,8100250,6.1,23.4,,3.836065574,
Q12,369987.5941,75000000,5.1,25.5,,5,
Q13,52591.5176,16500000,3.3,25.6,,7.757575758,
Q14,207153.3936,62000000,3.4,9.9,,2.911764706,
Q15,604832.6639,60100000,10.3,30,,2.912621359,
Q16,109486.6505,10100000,11.1,51.3,,4.621621622,
Q17,402527.116,62000000,6.6,29.4,,4.454545455,
Q18,364257.1352,76500000,4.9,47.5,,9.693877551,
Q19,287384.1233,62000000,4.7,11.5,,2.446808511,
Q20,393740.8803,70100250,5.8,45.8,,7.896551724,
Q21,1231898.232,75100250,16.8,87,,5.178571429,
Q22,39098.8597,16500000,2.4,9.3,,3.875,
